case_id,alert_id,customer_id,opened_ts,closed_ts,case_status,priority,investigator_id,disposition,exposure_inr,confirmed_loss_inr,case_category
CASE0000191,ALT00000664,CUST000148,2026-04-12 12:33:54,2026-04-14 09:33:54,Closed,Medium,INV001,Confirmed Fraud,1483.89,1226.17,Card misuse
CASE0000192,ALT00000672,CUST001758,2026-04-13 03:51:04,,Investigating,Medium,INV003,Under Investigation,3385.97,0,UPI scam
CASE0000193,ALT00000680,CUST000409,2026-04-14 04:14:36,,Investigating,Medium,INV004,Under Investigation,1397.06,0,UPI scam
CASE0000194,ALT00000681,CUST001902,2026-04-14 17:46:17,,Investigating,Medium,INV005,Under Investigation,831.9,0,Mule account
CASE0000195,ALT00000682,CUST001278,2026-04-15 00:27:21,,Investigating,Medium,INV005,Under Investigation,108.92,0,Other
CASE0000196,ALT00000684,CUST001782,2026-04-15 01:06:35,,Investigating,Medium,INV004,Under Investigation,7548.29,0,UPI scam
CASE0000197,ALT00000688,CUST000500,2026-04-15 05:05:01,,Investigating,Medium,INV004,Under Investigation,3082.34,0,Mule account
CASE0000198,ALT00000693,CUST001158,2026-04-16 01:57:25,2026-04-17 12:57:25,Closed,Medium,INV004,Confirmed Fraud,1125124.27,395770.99,UPI scam
CASE0000199,ALT00000697,CUST000652,2026-04-16 12:22:20,2026-04-16 17:22:20,Closed,Medium,INV002,False Positive,1029.44,0,Mule account
CASE0000200,ALT00000702,CUST001275,2026-04-17 03:10:43,,Investigating,Medium,INV002,Under Investigation,1479.83,0,Mule account
CASE0000201,ALT00000703,CUST001907,2026-04-17 04:29:27,2026-04-18 17:29:27,Closed,Medium,INV005,Pending Evidence,1164806.67,0,UPI scam
CASE0000202,ALT00000707,CUST000122,2026-04-17 10:00:17,,Investigating,Medium,INV001,Under Investigation,575201.0,0,Merchant abuse
CASE0000203,ALT00000708,CUST000976,2026-04-17 12:59:56,,Investigating,Medium,INV001,Under Investigation,739.35,0,Merchant abuse
CASE0000204,ALT00000719,CUST001309,2026-04-19 00:54:17,,Investigating,Medium,INV001,Under Investigation,2341.01,0,Other
CASE0000205,ALT00000720,CUST000949,2026-04-19 02:22:51,,Investigating,Medium,INV005,Under Investigation,2522.27,0,Card misuse
CASE0000206,ALT00000722,CUST001712,2026-04-19 02:34:59,,Investigating,Medium,INV002,Under Investigation,1924.36,0,Other
CASE0000207,ALT00000728,CUST000699,2026-04-19 23:11:32,,Investigating,Medium,INV002,Under Investigation,83.01,0,UPI scam
CASE0000208,ALT00000730,CUST001396,2026-04-19 22:28:18,2026-04-20 18:28:18,Closed,Medium,INV001,Customer Verified,243556.67,0,UPI scam
CASE0000209,ALT00000735,CUST001903,2026-04-20 03:10:21,2026-04-20 15:10:21,Closed,Medium,INV002,Customer Verified,3866.62,0,Card misuse
CASE0000210,ALT00000749,CUST001875,2026-04-22 05:02:49,,Investigating,Medium,INV005,Under Investigation,3126.79,0,Mule account
CASE0000211,ALT00000751,CUST000995,2026-04-22 16:02:16,2026-04-22 21:02:16,Closed,Medium,INV004,Customer Verified,38.81,0,Credential compromise
CASE0000212,ALT00000754,CUST000778,2026-04-23 01:30:32,2026-04-25 03:30:32,Closed,Critical,INV002,False Positive,1739.92,0,Card misuse
CASE0000213,ALT00000755,CUST000806,2026-04-23 01:05:31,2026-04-25 13:05:31,Closed,Medium,INV004,Pending Evidence,2317.21,0,Card misuse
CASE0000214,ALT00000756,CUST000328,2026-04-23 04:13:09,2026-04-26 04:13:09,Closed,Medium,INV002,Pending Evidence,3957.77,0,Merchant abuse
CASE0000215,ALT00000758,CUST001819,2026-04-23 09:35:30,,Investigating,Medium,INV005,Under Investigation,1543.62,0,Credential compromise
CASE0000216,ALT00000760,CUST000285,2026-04-24 02:20:58,,Investigating,Medium,INV004,Under Investigation,397870.71,0,UPI scam
CASE0000217,ALT00000766,CUST001036,2026-04-24 02:36:29,,Investigating,Medium,INV005,Under Investigation,4833.56,0,Merchant abuse
CASE0000218,ALT00000768,CUST001220,2026-04-24 04:15:00,,Investigating,Medium,INV002,Under Investigation,336125.0,0,UPI scam
CASE0000219,ALT00000772,CUST000106,2026-04-24 15:21:26,2026-04-26 18:21:26,Closed,Medium,INV001,Customer Verified,8295.32,0,Credential compromise
CASE0000220,ALT00000775,CUST000162,2026-04-24 22:54:24,2026-04-26 06:54:24,Closed,Medium,INV003,Confirmed Fraud,143.88,67.6,Merchant abuse
CASE0000221,ALT00000777,CUST000606,2026-04-25 03:39:54,2026-04-27 01:39:54,Closed,Medium,INV002,Pending Evidence,5710.35,0,UPI scam
CASE0000222,ALT00000780,CUST000944,2026-04-25 04:12:25,2026-04-27 11:12:25,Closed,Medium,INV003,False Positive,1467019.49,0,UPI scam
CASE0000223,ALT00000781,CUST000159,2026-04-25 05:07:08,,Investigating,Medium,INV004,Under Investigation,5836.66,0,Credential compromise
CASE0000224,ALT00000782,CUST000508,2026-04-25 09:16:31,,Investigating,Medium,INV002,Under Investigation,171310.77,0,Merchant abuse
CASE0000225,ALT00000783,CUST001901,2026-04-26 01:44:04,2026-04-28 16:44:04,Closed,Medium,INV002,False Positive,1700.8,0,Merchant abuse
CASE0000226,ALT00000786,CUST000067,2026-04-26 16:14:57,,Investigating,Critical,INV003,Under Investigation,117071.84,0,UPI scam
CASE0000227,ALT00000788,CUST001536,2026-04-26 22:22:07,,Investigating,Medium,INV003,Under Investigation,39325.28,0,Mule account
CASE0000228,ALT00000791,CUST000807,2026-04-27 02:23:16,,Investigating,Medium,INV001,Under Investigation,1048677.12,0,Card misuse
CASE0000229,ALT00000792,CUST000734,2026-04-27 03:03:20,,Investigating,Medium,INV001,Under Investigation,3448.52,0,Merchant abuse
CASE0000230,ALT00000799,CUST000722,2026-04-27 16:47:47,,Investigating,Medium,INV005,Under Investigation,113141.4,0,Mule account
CASE0000231,ALT00000804,CUST000989,2026-04-28 04:17:11,,Investigating,Medium,INV001,Under Investigation,1195527.23,0,Mule account
CASE0000232,ALT00000807,CUST000145,2026-04-29 01:21:12,,Investigating,Medium,INV004,Under Investigation,2951.97,0,Credential compromise
CASE0000233,ALT00000810,CUST000409,2026-04-29 04:14:13,2026-05-01 18:14:13,Closed,Medium,INV001,Confirmed Fraud,1428.86,1002.33,Card misuse
CASE0000234,ALT00000823,CUST001387,2026-04-30 14:41:47,2026-04-30 20:41:47,Closed,Medium,INV002,Pending Evidence,337990.16,0,Other
CASE0000235,ALT00000824,CUST001205,2026-04-30 18:21:53,,Investigating,Critical,INV001,Under Investigation,419247.7,0,Other
CASE0000236,ALT00000833,CUST001383,2026-05-01 18:21:52,2026-05-03 19:21:52,Closed,Medium,INV005,Customer Verified,281226.81,0,Merchant abuse
CASE0000237,ALT00000834,CUST000146,2026-05-01 21:46:34,,Investigating,Medium,INV003,Under Investigation,532231.87,0,Card misuse
CASE0000238,ALT00000835,CUST001712,2026-05-02 01:21:49,,Investigating,Medium,INV002,Under Investigation,3082.14,0,Mule account
CASE0000239,ALT00000841,CUST001588,2026-05-02 07:04:08,,Investigating,High,INV003,Under Investigation,1191.12,0,UPI scam
CASE0000240,ALT00000844,CUST001454,2026-05-03 01:29:56,,Investigating,Medium,INV005,Under Investigation,536682.38,0,UPI scam
CASE0000241,ALT00000848,CUST001102,2026-05-03 02:43:35,,Investigating,Medium,INV003,Under Investigation,758240.3,0,UPI scam
CASE0000242,ALT00000857,CUST001008,2026-05-03 19:03:03,,Investigating,Medium,INV001,Under Investigation,178296.0,0,Merchant abuse
CASE0000243,ALT00000861,CUST000015,2026-05-04 04:01:02,2026-05-06 00:01:02,Closed,Medium,INV004,Pending Evidence,9827.22,0,Merchant abuse
CASE0000244,ALT00000870,CUST000109,2026-05-05 05:14:36,,Investigating,Medium,INV003,Under Investigation,2475.97,0,Mule account
CASE0000245,ALT00000882,CUST000299,2026-05-06 04:05:38,,Investigating,Medium,INV002,Under Investigation,2888.48,0,Mule account
CASE0000246,ALT00000883,CUST000386,2026-05-06 14:41:12,,Investigating,Medium,INV002,Under Investigation,123361.55,0,Merchant abuse
CASE0000247,ALT00000889,CUST001786,2026-05-07 05:51:16,2026-05-07 06:51:16,Closed,Medium,INV002,Customer Verified,5261.06,0,Credential compromise
CASE0000248,ALT00000903,CUST001264,2026-05-08 21:10:57,2026-05-11 10:10:57,Closed,Critical,INV005,Customer Verified,69950.97,0,Merchant abuse
CASE0000249,ALT00000904,CUST000828,2026-05-08 23:55:04,2026-05-09 21:55:04,Closed,Medium,INV004,Pending Evidence,259.62,0,Other
CASE0000250,ALT00000907,CUST001998,2026-05-09 06:21:25,2026-05-09 13:21:25,Closed,Medium,INV004,Pending Evidence,1117186.21,0,Merchant abuse
CASE0000251,ALT00000911,CUST000673,2026-05-09 23:45:06,2026-05-11 08:45:06,Closed,Medium,INV005,False Positive,124265.51,0,Credential compromise
CASE0000252,ALT00000912,CUST001578,2026-05-10 03:24:42,2026-05-10 17:24:42,Closed,Medium,INV002,Pending Evidence,1329.21,0,Credential compromise
CASE0000253,ALT00000920,CUST001010,2026-05-11 07:38:16,,Investigating,Medium,INV003,Under Investigation,574055.66,0,Mule account
CASE0000254,ALT00000921,CUST000188,2026-05-11 08:27:38,,Investigating,Medium,INV003,Under Investigation,121.67,0,Credential compromise
CASE0000255,ALT00000929,CUST000949,2026-05-12 03:58:19,,Investigating,Medium,INV002,Under Investigation,12057.14,0,Merchant abuse
CASE0000256,ALT00000930,CUST000297,2026-05-12 09:35:09,,Investigating,Medium,INV002,Under Investigation,57251.24,0,Mule account
CASE0000257,ALT00000932,CUST001528,2026-05-12 20:14:51,2026-05-15 03:14:51,Closed,Critical,INV002,Customer Verified,1069409.72,0,Mule account
CASE0000258,ALT00000936,CUST001807,2026-05-13 05:33:51,,Investigating,Medium,INV004,Under Investigation,8634.45,0,Card misuse
CASE0000259,ALT00000944,CUST000090,2026-05-14 02:02:59,,Investigating,Medium,INV002,Under Investigation,827837.55,0,Merchant abuse
CASE0000260,ALT00000945,CUST001956,2026-05-14 02:12:38,2026-05-14 13:12:38,Closed,Medium,INV001,Customer Verified,1305.76,0,Card misuse
CASE0000261,ALT00000946,CUST000005,2026-05-14 01:34:38,,Investigating,Medium,INV001,Under Investigation,2728.76,0,Card misuse
CASE0000262,ALT00000950,CUST000706,2026-05-14 03:43:55,,Investigating,Critical,INV004,Under Investigation,205437.73,0,Other
CASE0000263,ALT00000951,CUST001684,2026-05-14 05:18:39,2026-05-15 09:18:39,Closed,Medium,INV001,Confirmed Fraud,3780.09,1007.89,Other
CASE0000264,ALT00000956,CUST001059,2026-05-15 01:19:31,,Investigating,Medium,INV003,Under Investigation,6837.59,0,Merchant abuse
CASE0000265,ALT00000963,CUST001610,2026-05-16 02:27:42,2026-05-17 04:27:42,Closed,Medium,INV002,Pending Evidence,13836.92,0,Merchant abuse
CASE0000266,ALT00000964,CUST000610,2026-05-16 02:57:53,2026-05-18 22:57:53,Closed,Medium,INV001,Customer Verified,15876.98,0,Card misuse
CASE0000267,ALT00000966,CUST001935,2026-05-16 05:57:03,2026-05-18 13:57:03,Closed,Critical,INV002,False Positive,2964.61,0,Merchant abuse
CASE0000268,ALT00000968,CUST000210,2026-05-16 10:26:06,2026-05-18 07:26:06,Closed,Medium,INV001,Confirmed Fraud,1770.2,622.44,Other
CASE0000269,ALT00000970,CUST000755,2026-05-16 22:26:46,,Investigating,Medium,INV001,Under Investigation,157458.34,0,Credential compromise
CASE0000270,ALT00000977,CUST001463,2026-05-18 03:45:19,,Investigating,Medium,INV002,Under Investigation,2947.19,0,Merchant abuse
CASE0000271,ALT00000978,CUST001012,2026-05-18 03:45:26,2026-05-18 05:45:26,Closed,Medium,INV005,Customer Verified,271487.58,0,UPI scam
CASE0000272,ALT00000979,CUST000420,2026-05-18 04:46:05,,Investigating,Medium,INV001,Under Investigation,1432.34,0,Credential compromise
CASE0000273,ALT00000988,CUST000983,2026-05-19 00:18:02,,Investigating,Medium,INV003,Under Investigation,544793.27,0,UPI scam
CASE0000274,ALT00000993,CUST000069,2026-05-19 22:58:37,2026-05-20 11:58:37,Closed,Critical,INV005,Pending Evidence,4663.03,0,Merchant abuse
CASE0000275,ALT00000995,CUST000166,2026-05-20 01:56:51,,Investigating,Medium,INV003,Under Investigation,93568.83,0,Card misuse
CASE0000276,ALT00001003,CUST000477,2026-05-22 00:25:34,2026-05-23 08:25:34,Closed,Critical,INV004,False Positive,121869.79,0,Merchant abuse
CASE0000277,ALT00001005,CUST001679,2026-05-22 02:55:20,2026-05-24 19:55:20,Closed,Medium,INV005,Pending Evidence,24832.18,0,Mule account
CASE0000278,ALT00001007,CUST001786,2026-05-22 06:05:19,,Investigating,Critical,INV005,Under Investigation,1502.51,0,Card misuse
CASE0000279,ALT00001010,CUST000273,2026-05-22 22:26:03,,Investigating,High,INV001,Under Investigation,8089.88,0,Other
CASE0000280,ALT00001015,CUST001654,2026-05-23 05:12:41,,Investigating,Medium,INV004,Under Investigation,3465.38,0,Merchant abuse
CASE0000281,ALT00001017,CUST001606,2026-05-23 05:02:52,,Investigating,Medium,INV005,Under Investigation,2710.7,0,Other
CASE0000282,ALT00001018,CUST001625,2026-05-23 18:28:57,2026-05-26 04:28:57,Closed,Critical,INV004,Pending Evidence,125629.16,0,Merchant abuse
CASE0000283,ALT00001023,CUST001962,2026-05-24 04:41:57,,Investigating,Medium,INV005,Under Investigation,17665.35,0,Other
CASE0000284,ALT00001027,CUST000215,2026-05-25 10:04:30,,Investigating,Medium,INV001,Under Investigation,486782.57,0,Credential compromise
CASE0000285,ALT00001029,CUST000754,2026-05-25 19:16:17,,Investigating,Medium,INV004,Under Investigation,67267.97,0,Merchant abuse
CASE0000286,ALT00001034,CUST000572,2026-05-26 04:04:25,2026-05-26 12:04:25,Closed,Critical,INV001,Customer Verified,1162.95,0,Merchant abuse
CASE0000287,ALT00001035,CUST001786,2026-05-26 03:54:34,,Investigating,Medium,INV001,Under Investigation,5512.78,0,Credential compromise
CASE0000288,ALT00001036,CUST001346,2026-05-26 04:52:37,2026-05-29 04:52:37,Closed,Medium,INV004,Confirmed Fraud,899059.13,425028.58,Mule account
CASE0000289,ALT00001045,CUST001384,2026-05-27 10:39:48,,Investigating,Medium,INV004,Under Investigation,306382.99,0,UPI scam
CASE0000290,ALT00001047,CUST000685,2026-05-27 12:34:44,2026-05-30 06:34:44,Closed,Medium,INV005,False Positive,45588.67,0,Mule account
CASE0000291,ALT00001053,CUST000346,2026-05-28 01:48:51,,Investigating,Medium,INV004,Under Investigation,1872.84,0,Credential compromise
CASE0000292,ALT00001054,CUST000299,2026-05-28 01:39:46,,Investigating,Medium,INV005,Under Investigation,7608.74,0,Merchant abuse
CASE0000293,ALT00001066,CUST001249,2026-05-29 02:21:20,,Investigating,Critical,INV002,Under Investigation,320083.9,0,Card misuse
CASE0000294,ALT00001070,CUST001971,2026-05-29 03:49:30,,Investigating,Medium,INV004,Under Investigation,1257.53,0,Card misuse
CASE0000295,ALT00001071,CUST001439,2026-05-29 04:56:37,2026-05-30 00:56:37,Closed,Medium,INV005,Pending Evidence,1738.5,0,Credential compromise
CASE0000296,ALT00001072,CUST001381,2026-05-29 03:55:28,,Investigating,Medium,INV003,Under Investigation,4220.5,0,Other
CASE0000297,ALT00001081,CUST001846,2026-05-29 18:34:31,2026-05-31 23:34:31,Closed,Medium,INV003,False Positive,373313.46,0,Other
CASE0000298,ALT00001093,CUST000281,2026-05-31 03:22:55,2026-06-03 03:22:55,Closed,Medium,INV001,Customer Verified,4907.58,0,Card misuse
CASE0000299,ALT00001097,CUST000557,2026-05-31 06:18:18,,Investigating,Medium,INV001,Under Investigation,2313.44,0,Card misuse
CASE0000300,ALT00001109,CUST001136,2026-06-01 19:44:50,2026-06-04 12:44:50,Closed,Medium,INV003,Pending Evidence,336463.14,0,Merchant abuse
CASE0000301,ALT00001117,CUST001919,2026-06-02 18:28:03,,Investigating,Medium,INV003,Under Investigation,294179.56,0,Merchant abuse
CASE0000302,ALT00001121,CUST000404,2026-06-03 04:54:18,2026-06-03 16:54:18,Closed,Medium,INV003,Confirmed Fraud,1310914.91,781704.75,Credential compromise
CASE0000303,ALT00001124,CUST000634,2026-06-03 16:49:21,2026-06-04 19:49:21,Closed,Medium,INV005,Pending Evidence,28029.07,0,UPI scam
CASE0000304,ALT00001129,CUST000070,2026-06-04 01:45:37,2026-06-06 19:45:37,Closed,Medium,INV005,False Positive,10372.12,0,Merchant abuse
CASE0000305,ALT00001135,CUST001078,2026-06-05 00:14:41,2026-06-06 10:14:41,Closed,Critical,INV003,Pending Evidence,4298.94,0,UPI scam
CASE0000306,ALT00001140,CUST001505,2026-06-05 11:50:45,2026-06-06 14:50:45,Closed,Medium,INV005,Pending Evidence,610.02,0,Credential compromise
CASE0000307,ALT00001142,CUST000183,2026-06-05 20:39:08,2026-06-07 07:39:08,Closed,High,INV002,Confirmed Fraud,490768.9,165238.33,UPI scam
CASE0000308,ALT00001144,CUST000395,2026-06-05 20:59:23,,Investigating,Medium,INV005,Under Investigation,50862.59,0,Credential compromise
CASE0000309,ALT00001145,CUST000225,2026-06-06 01:50:53,2026-06-07 14:50:53,Closed,Medium,INV001,Confirmed Fraud,20023.39,12154.9,Other
CASE0000310,ALT00001146,CUST000611,2026-06-06 01:42:26,,Investigating,Medium,INV005,Under Investigation,112.86,0,UPI scam
CASE0000311,ALT00001148,CUST000590,2026-06-06 02:17:36,2026-06-08 23:17:36,Closed,Medium,INV004,False Positive,2586.54,0,UPI scam
CASE0000312,ALT00001151,CUST000078,2026-06-06 04:25:50,,Investigating,Medium,INV002,Under Investigation,6751.67,0,Merchant abuse
CASE0000313,ALT00001157,CUST000941,2026-06-06 15:48:56,,Investigating,Medium,INV003,Under Investigation,305303.92,0,Mule account
CASE0000314,ALT00001158,CUST000269,2026-06-07 00:03:08,,Investigating,Medium,INV004,Under Investigation,6081.6,0,Card misuse
CASE0000315,ALT00001162,CUST001187,2026-06-07 16:28:24,2026-06-09 05:28:24,Closed,Medium,INV001,Customer Verified,135.24,0,Credential compromise
CASE0000316,ALT00001167,CUST000261,2026-06-08 04:25:20,2026-06-09 10:25:20,Closed,Medium,INV002,Pending Evidence,2223.35,0,Mule account
CASE0000317,ALT00001168,CUST000520,2026-06-08 05:56:40,,Investigating,Critical,INV003,Under Investigation,108192.48,0,Card misuse
CASE0000318,ALT00001173,CUST000558,2026-06-09 02:42:00,,Investigating,Medium,INV003,Under Investigation,1338991.91,0,Credential compromise
CASE0000319,ALT00001180,CUST001587,2026-06-10 01:32:59,2026-06-12 04:32:59,Closed,Medium,INV005,False Positive,3833.12,0,UPI scam
CASE0000320,ALT00001183,CUST000011,2026-06-10 05:02:41,,Investigating,Medium,INV002,Under Investigation,10348.03,0,Mule account
CASE0000321,ALT00001187,CUST000518,2026-06-10 16:37:23,,Investigating,Medium,INV001,Under Investigation,4445.54,0,Credential compromise
CASE0000322,ALT00001190,CUST001878,2026-06-11 00:29:51,2026-06-13 05:29:51,Closed,Medium,INV003,False Positive,15195.0,0,Other
CASE0000323,ALT00001194,CUST001525,2026-06-11 02:38:11,,Investigating,Medium,INV001,Under Investigation,2039.67,0,Card misuse
CASE0000324,ALT00001195,CUST000011,2026-06-11 03:51:14,,Investigating,Medium,INV004,Under Investigation,4277.93,0,Credential compromise
CASE0000325,ALT00001196,CUST000368,2026-06-11 03:50:50,2026-06-12 01:50:50,Closed,Medium,INV001,False Positive,1034468.68,0,Mule account
CASE0000326,ALT00001198,CUST000432,2026-06-11 19:01:00,,Investigating,Medium,INV005,Under Investigation,486534.15,0,Credential compromise
CASE0000327,ALT00001200,CUST001578,2026-06-12 02:28:28,2026-06-12 18:28:28,Closed,Medium,INV004,False Positive,527369.2,0,Merchant abuse
CASE0000328,ALT00001203,CUST000381,2026-06-12 01:41:32,2026-06-13 18:41:32,Closed,Medium,INV005,Customer Verified,3418.67,0,Mule account
CASE0000329,ALT00001210,CUST001496,2026-06-12 15:10:38,,Investigating,Medium,INV003,Under Investigation,285200.48,0,Mule account
CASE0000330,ALT00001217,CUST000642,2026-06-13 09:29:14,2026-06-14 16:29:14,Closed,Medium,INV001,Pending Evidence,305.91,0,Card misuse
CASE0000331,ALT00001218,CUST000824,2026-06-13 08:24:36,,Investigating,Medium,INV001,Under Investigation,83921.95,0,Other
CASE0000332,ALT00001225,CUST001901,2026-06-14 03:54:06,2026-06-15 12:54:06,Closed,Medium,INV002,Confirmed Fraud,6240.79,4697.13,UPI scam
CASE0000333,ALT00001230,CUST000161,2026-06-14 06:40:59,2026-06-16 16:40:59,Closed,Medium,INV003,Confirmed Fraud,769.09,657.9,Mule account
CASE0000334,ALT00001231,CUST000011,2026-06-14 08:13:33,2026-06-15 01:13:33,Closed,Critical,INV004,Confirmed Fraud,1221.12,683.06,Merchant abuse
CASE0000335,ALT00001232,CUST001421,2026-06-14 15:23:41,,Investigating,Medium,INV002,Under Investigation,546252.77,0,Other
CASE0000336,ALT00001234,CUST000093,2026-06-14 23:32:13,2026-06-15 10:32:13,Closed,Medium,INV005,False Positive,2944.38,0,Other
CASE0000337,ALT00001238,CUST001801,2026-06-15 05:10:02,,Investigating,Medium,INV001,Under Investigation,1250.1,0,Mule account
CASE0000338,ALT00001239,CUST000857,2026-06-15 06:13:55,,Investigating,Medium,INV002,Under Investigation,449.75,0,Merchant abuse
CASE0000339,ALT00001240,CUST001818,2026-06-15 12:33:32,,Investigating,Medium,INV004,Under Investigation,406.76,0,Other
CASE0000340,ALT00001244,CUST001552,2026-06-15 22:19:38,2026-06-16 18:19:38,Closed,Medium,INV002,Customer Verified,574181.57,0,Mule account
CASE0000341,ALT00001252,CUST000238,2026-06-16 04:35:44,,Investigating,Medium,INV002,Under Investigation,2846.14,0,Other
CASE0000342,ALT00001253,CUST000741,2026-06-16 15:38:35,2026-06-17 15:38:35,Closed,Medium,INV002,Confirmed Fraud,714.87,191.99,Other
CASE0000343,ALT00001259,CUST001891,2026-06-17 02:40:35,,Investigating,Medium,INV003,Under Investigation,4037.0,0,Merchant abuse
CASE0000344,ALT00001262,CUST001353,2026-06-17 04:58:20,2026-06-18 11:58:20,Closed,Medium,INV001,Pending Evidence,575.26,0,Other
CASE0000345,ALT00001265,CUST000727,2026-06-17 21:10:34,,Investigating,Critical,INV002,Under Investigation,107676.04,0,Card misuse
CASE0000346,ALT00001268,CUST000734,2026-06-18 01:08:12,2026-06-19 13:08:12,Closed,Medium,INV004,Customer Verified,3655.01,0,UPI scam
CASE0000347,ALT00001270,CUST000074,2026-06-18 01:35:57,2026-06-20 23:35:57,Closed,Medium,INV001,Customer Verified,444285.88,0,UPI scam
CASE0000348,ALT00001271,CUST000525,2026-06-18 03:38:30,,Investigating,Medium,INV001,Under Investigation,7483.44,0,Merchant abuse
CASE0000349,ALT00001272,CUST000250,2026-06-18 08:08:11,2026-06-18 13:08:11,Closed,Medium,INV003,Confirmed Fraud,526.14,363.95,UPI scam
CASE0000350,ALT00001278,CUST000375,2026-06-19 02:13:17,,Investigating,Medium,INV005,Under Investigation,3337.04,0,Merchant abuse
CASE0000351,ALT00001281,CUST001879,2026-06-19 03:14:55,2026-06-19 13:14:55,Closed,Medium,INV004,Pending Evidence,4217.67,0,Card misuse
CASE0000352,ALT00001282,CUST001153,2026-06-19 04:20:46,,Investigating,Medium,INV004,Under Investigation,1354.18,0,Other
CASE0000353,ALT00001283,CUST001206,2026-06-19 10:53:15,2026-06-21 04:53:15,Closed,Medium,INV003,False Positive,105590.79,0,Merchant abuse
CASE0000354,ALT00001285,CUST000605,2026-06-20 04:00:31,,Investigating,Medium,INV002,Under Investigation,13422.54,0,UPI scam
CASE0000355,ALT00001290,CUST001870,2026-06-20 12:11:26,,Investigating,Critical,INV004,Under Investigation,193970.87,0,Mule account
CASE0000356,ALT00001302,CUST000423,2026-06-22 03:39:04,2026-06-23 21:39:04,Closed,Medium,INV001,Confirmed Fraud,5804.33,1900.0,Other
CASE0000357,ALT00001304,CUST000999,2026-06-22 04:14:41,2026-06-23 23:14:41,Closed,Medium,INV003,Customer Verified,3865.97,0,UPI scam
CASE0000358,ALT00001313,CUST001192,2026-06-23 01:47:00,,Investigating,Medium,INV002,Under Investigation,216463.96,0,Mule account
CASE0000359,ALT00001316,CUST000141,2026-06-23 03:22:47,,Investigating,Medium,INV001,Under Investigation,1494.1,0,Credential compromise
CASE0000360,ALT00001322,CUST001748,2026-06-23 14:36:35,2026-06-25 21:36:35,Closed,Medium,INV004,Customer Verified,348943.9,0,Merchant abuse
CASE0000361,ALT00001330,CUST000764,2026-06-24 04:12:56,,Investigating,Medium,INV001,Under Investigation,1797.8,0,Mule account
CASE0000362,ALT00001339,CUST001554,2026-06-25 02:22:12,,Investigating,Medium,INV003,Under Investigation,4860.72,0,Mule account
CASE0000363,ALT00001351,CUST001401,2026-06-26 09:52:17,2026-06-28 09:52:17,Closed,Medium,INV002,False Positive,2280.25,0,UPI scam
CASE0000364,ALT00001352,CUST000875,2026-06-26 15:15:48,2026-06-27 09:15:48,Closed,Medium,INV002,False Positive,2861.36,0,Credential compromise
CASE0000365,ALT00001368,CUST001061,2026-06-28 21:08:46,2026-06-29 04:08:46,Closed,Medium,INV005,False Positive,127.17,0,Credential compromise
CASE0000366,ALT00001371,CUST001683,2026-06-29 02:22:12,2026-06-29 12:22:12,Closed,Medium,INV005,False Positive,550.99,0,Mule account
CASE0000367,ALT00001380,CUST000704,2026-06-30 08:59:31,2026-07-01 07:59:31,Closed,Medium,INV004,Confirmed Fraud,281722.22,144781.36,UPI scam
CASE0000368,ALT00001382,CUST000640,2026-06-30 11:11:44,,Investigating,Medium,INV001,Under Investigation,1531.29,0,Credential compromise
CASE0000369,ALT00001385,CUST001876,2026-07-01 01:34:13,2026-07-04 00:34:13,Closed,Medium,INV001,Confirmed Fraud,1084874.2,586561.87,Other
CASE0000370,ALT00001388,CUST001709,2026-07-01 03:19:49,,Investigating,Medium,INV003,Under Investigation,605815.78,0,Card misuse
CASE0000371,ALT00001394,CUST001407,2026-07-01 12:07:25,2026-07-02 12:07:25,Closed,Medium,INV005,False Positive,362.78,0,UPI scam
CASE0000372,ALT00001397,CUST000072,2026-07-02 00:11:45,2026-07-03 07:11:45,Closed,Medium,INV004,Pending Evidence,1735.33,0,Merchant abuse
CASE0000373,ALT00001398,CUST001809,2026-07-02 01:11:09,2026-07-04 17:11:09,Closed,Medium,INV005,Customer Verified,432319.48,0,UPI scam
CASE0000374,ALT00001401,CUST001006,2026-07-02 02:54:18,,Investigating,Medium,INV002,Under Investigation,235633.61,0,Mule account
CASE0000375,ALT00001408,CUST000964,2026-07-02 11:56:41,2026-07-05 05:56:41,Closed,High,INV003,Confirmed Fraud,552363.5,222663.11,Mule account
CASE0000376,ALT00001409,CUST000847,2026-07-02 15:58:01,,Investigating,Medium,INV002,Under Investigation,309072.27,0,Credential compromise
CASE0000377,ALT00001411,CUST000400,2026-07-02 19:55:12,2026-07-04 22:55:12,Closed,Medium,INV003,Pending Evidence,1177.34,0,Card misuse
CASE0000378,ALT00001414,CUST000798,2026-07-03 03:54:29,,Investigating,Medium,INV005,Under Investigation,3822.61,0,Credential compromise
CASE0000379,ALT00001416,CUST001466,2026-07-03 04:04:28,,Investigating,Medium,INV003,Under Investigation,1406007.03,0,Credential compromise
CASE0000380,ALT00001417,CUST000446,2026-07-03 05:36:26,,Investigating,Medium,INV004,Under Investigation,6504.75,0,Card misuse
CASE0000381,ALT00001419,CUST000381,2026-07-03 04:35:01,,Investigating,Medium,INV003,Under Investigation,1809.61,0,Card misuse
CASE0000382,ALT00001422,CUST000182,2026-07-03 16:17:32,2026-07-04 12:17:32,Closed,Medium,INV005,Confirmed Fraud,40.84,9.61,Mule account
